*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Welcome, {0}	Welcome, {0}	Üdv, {0}	Welkom, {0}	Bienvenido, {0}	Bine ai venit, {0}	Witaj, {0}	Vítejte, {0}	Dobrodošli, {0}	Bem-vindo, {0}	Bem-vindo, {0}	Tere tulemast, {0}	Bienvenue, {0}	Bienvenue, {0}	환영합니다, {0}	欢迎，{0}	歡迎，{0}	Dobrodošli, {0}	Добро пожаловать, {0}	Hoş geldin, {0}	Tervetuloa, {0}	Добре дошли, {0}	Ласкаво просимо, {0}	Willkommen, {0}	Benvingut, {0}	Benvenuto, {0}	ようこそ、{0}	Sveiki, {0}	أهلاً، {0}	Қош келдіңіз, {0}	Velkommen, {0}	Welcome, {0}	स्वागत है, {0}	ยินดีต้อนรับ, {0}	Selamat datang, {0}	კეთილი იყოს თქვენი მობრძანება, {0}	Laipni lūdzam, {0}	Chào mừng, {0}	Καλώς ήρθες, {0}	Вітаем, {0}	Vitajte, {0}	Välkommen, {0}	خوش آمدید، {0}
Name ≥3, valid email, password ≥6.	Name ≥3, valid email, password ≥6.	Név ≥3, érvényes e-mail, jelszó ≥6.	Naam ≥3, geldig e-mail, wachtwoord ≥6.	Nombre ≥3, correo válido, contraseña ≥6.	Nume ≥3, e-mail valid, parolă ≥6.	Nazwa ≥3, poprawny e-mail, hasło ≥6.	Jméno ≥3, platný e-mail, heslo ≥6.	Ime ≥3, ispravan e-mail, lozinka ≥6.	Nome ≥3, e-mail válido, senha ≥6.	Nome ≥3, e-mail válido, palavra-passe ≥6.	Nimi ≥3, kehtiv e-post, parool ≥6.	Nom ≥3, e-mail valide, mot de passe ≥6.	Nom ≥3, e-mail valide, mot de passe ≥6.	이름 ≥3, 올바른 이메일, 비밀번호 ≥6.	昵称≥3，有效邮箱，密码≥6。	暱稱≥3，有效信箱，密碼≥6。	Ime ≥3, ispravan e-mail, lozinka ≥6.	Имя ≥3, верная почта, пароль ≥6.	Ad ≥3, geçerli e-posta, şifre ≥6.	Nimi ≥3, kelvollinen sähköposti, salasana ≥6.	Име ≥3, валиден имейл, парола ≥6.	Ім’я ≥3, дійсна пошта, пароль ≥6.	Name ≥3, gültige E-Mail, Passwort ≥6.	Nom ≥3, correu vàlid, contrasenya ≥6.	Nome ≥3, e-mail valida, password ≥6.	名前≥3、有効なメール、パスワード≥6。	Vardas ≥3, galiojantis el. paštas, slaptažodis ≥6.	الاسم ≥3، بريد صالح، كلمة السر ≥6.	Аты ≥3, дұрыс пошта, құпиясөз ≥6.	Navn ≥3, gyldig e-post, passord ≥6.	Pangalan ≥3, valid email, password ≥6.	नाम ≥3, सही ईमेल, पासवर्ड ≥6।	ชื่อ ≥3 อีเมลถูกต้อง รหัส ≥6	Nama ≥3, email valid, kata sandi ≥6.	სახელი ≥3, სწორი ელფოსტა, პაროლი ≥6.	Vārds ≥3, derīgs e-pasts, parole ≥6.	Tên ≥3, email hợp lệ, mật khẩu ≥6.	Όνομα ≥3, έγκυρο email, κωδικός ≥6.	Імя ≥3, слушная пошта, пароль ≥6.	Meno ≥3, platný e-mail, heslo ≥6.	Namn ≥3, giltig e-post, lösenord ≥6.	نام ≥۳، ایمیل معتبر، رمز ≥۶.
Registering...	Registering...	Regisztráció...	Registreren...	Registrando...	Se înregistrează...	Rejestracja...	Registrace...	Registracija...	Registrando...	A registar...	Registreerimine...	Inscription...	Inscription...	가입 중...	正在注册...	正在註冊...	Registracija...	Регистрация...	Kayıt olunuyor...	Rekisteröidään...	Регистрация...	Реєстрація...	Registrierung...	S'està registrant...	Registrazione...	登録中...	Registruojama...	جارٍ التسجيل...	Тіркелу...	Registrerer...	Nagrerehistro...	पंजीकरण हो रहा है...	กำลังสมัคร...	Mendaftar...	რეგისტრაცია...	Reģistrē...	Đang đăng ký...	Εγγραφή...	Рэгістрацыя...	Registrácia...	Registrerar...	در حال ثبت‌نام...
Register failed.	Register failed.	Sikertelen regisztráció.	Registratie mislukt.	Error al registrarse.	Înregistrare eșuată.	Rejestracja nieudana.	Registrace selhala.	Registracija nije uspjela.	Falha no registro.	Falha no registo.	Registreerimine ebaõnnestus.	Échec de l'inscription.	Échec de l'inscription.	가입 실패.	注册失败。	註冊失敗。	Registracija nije uspela.	Не удалось зарегистрироваться.	Kayıt başarısız.	Rekisteröinti epäonnistui.	Неуспешна регистрация.	Не вдалося зареєструватися.	Registrierung fehlgeschlagen.	Ha fallat el registre.	Registrazione non riuscita.	登録に失敗しました。	Registracija nepavyko.	فشل التسجيل.	Тіркелу сәтсіз.	Registrering mislyktes.	Nabigo ang rehistro.	पंजीकरण असफल।	สมัครไม่สำเร็จ	Gagal daftar.	რეგისტრაცია ვერ მოხერხდა.	Reģistrācija neizdevās.	Đăng ký thất bại.	Αποτυχία εγγραφής.	Не ўдалося зарэгістравацца.	Registrácia zlyhala.	Registrering misslyckades.	ثبت‌نام ناموفق.
Code sent! Check your email.	Code sent! Check your email.	Kód elküldve! Nézd meg az e-mailt.	Code verstuurd! Check je e-mail.	¡Código enviado! Revisa el correo.	Cod trimis! Verifică e-mailul.	Kod wysłany! Sprawdź e-mail.	Kód odeslán! Zkontrolujte e-mail.	Kod poslan! Provjerite e-poštu.	Código enviado! Veja o e-mail.	Código enviado! Veja o e-mail.	Kood saadetud! Vaata e-posti.	Code envoyé ! Vérifiez l'e-mail.	Code envoyé ! Vérifiez l'e-mail.	코드 전송됨! 이메일을 확인하세요.	验证码已发送！请查收邮箱。	驗證碼已寄出！請查看信箱。	Kod poslat! Proverite e-poštu.	Код отправлен! Проверьте почту.	Kod gönderildi! E-postanı kontrol et.	Koodi lähetetty! Tarkista sähköposti.	Кодът е изпратен! Проверете имейла.	Код надіслано! Перевірте пошту.	Code gesendet! E-Mail prüfen.	Codi enviat! Revisa el correu.	Codice inviato! Controlla l'e-mail.	コード送信！メールを確認。	Kodas išsiųstas! Patikrinkite el. paštą.	أُرسل الرمز! تحقق من بريدك.	Код жіберілді! Поштаны тексеріңіз.	Kode sendt! Sjekk e-posten.	Naipadala ang code! Tingnan ang email.	कोड भेज दिया! ईमेल देखें।	ส่งรหัสแล้ว! ตรวจอีเมล	Kode terkirim! Cek email.	კოდი გაიგზავნა! შეამოწმეთ ელფოსტა.	Kods nosūtīts! Pārbaudiet e-pastu.	Đã gửi mã! Kiểm tra email.	Ο κωδικός στάλθηκε! Δείτε το email.	Код дасланы! Праверце пошту.	Kód odoslaný! Skontrolujte e-mail.	Kod skickad! Kolla e-posten.	کد ارسال شد! ایمیل را ببینید.
Code generated (email not sent by host). Enter it below if you have it.	Code generated (email not sent by host). Enter it below if you have it.	Kód készült (a host nem küldött e-mailt). Írd be, ha megvan.	Code gemaakt (host stuurde geen mail). Vul hem in als je hem hebt.	Código generado (el host no envió correo). Introdúcelo si lo tienes.	Cod generat (hostul nu a trimis e-mail). Introdu-l dacă îl ai.	Kod wygenerowany (host nie wysłał e-maila). Wpisz, jeśli go masz.	Kód vygenerován (host e-mail neposlal). Zadejte ho, pokud ho máte.	Kod generisan (host nije poslao e-poštu). Unesite ga ako ga imate.	Código gerado (o host não enviou e-mail). Digite se tiver.	Código gerado (o anfitrião não enviou e-mail). Introduza se o tiver.	Kood loodud (host e-kirja ei saatnud). Sisesta, kui sul see on.	Code généré (l'hébergeur n'a pas envoyé l'e-mail). Saisissez-le si vous l'avez.	Code généré (l'hébergeur n'a pas envoyé l'e-mail). Saisissez-le si vous l'avez.	코드 생성됨(호스트가 메일을 보내지 않음). 있으면 입력하세요.	已生成验证码（主机未发信）。若你有码请在下方输入。	已產生驗證碼（主機未寄信）。若你有碼請在下方輸入。	Kod generisan (host nije poslao e-poštu). Unesite ga ako ga imate.	Код создан (хост не отправил письмо). Введите его ниже, если он есть.	Kod üretildi (sunucu e-posta göndermedi). Varsa aşağıya girin.	Koodi luotu (isäntä ei lähettänyt sähköpostia). Syötä se, jos sinulla on se.	Кодът е създаден (хостът не изпрати имейл). Въведете го, ако го имате.	Код створено (хост не надіслав листа). Введіть його нижче, якщо він є.	Code erzeugt (Host hat keine Mail geschickt). Unten eintragen, falls vorhanden.	Codi generat (l'amfitrió no ha enviat el correu). Introdueix-lo si el tens.	Codice generato (l'host non ha inviato l'e-mail). Inseriscilo se ce l'hai.	コード生成（ホストがメール未送信）。あれば下に入力。	Kodas sukurtas (serveris laiško nesiuntė). Įveskite, jei turite.	أُنشئ الرمز (المضيف لم يرسل بريداً). أدخله إن كان لديك.	Код жасалды (хост хат жібермеді). Бар болса төменге енгізіңіз.	Kode laget (verten sendte ikke e-post). Skriv den inn hvis du har den.	Nagawa ang code (hindi nagpadala ng email ang host). Ilagay kung meron ka.	कोड बन गया (होस्ट ने मेल नहीं भेजा)। हो तो नीचे लिखें।	สร้างรหัสแล้ว (โฮสต์ไม่ส่งเมล) ถ้ามีให้ใส่ด้านล่าง	Kode dibuat (host tidak mengirim email). Masukkan jika punya.	კოდი შეიქმნა (ჰოსტმა წერილი არ გააგზავნა). შეიყვანეთ, თუ გაქვთ.	Kods izveidots (resursdators e-pastu nesūtīja). Ievadiet, ja tas ir.	Đã tạo mã (máy chủ không gửi email). Nhập nếu bạn có.	Δημιουργήθηκε κωδικός (ο host δεν έστειλε email). Βάλτε τον αν τον έχετε.	Код створаны (хост не даслаў ліст). Увядзіце ніжэй, калі ёсць.	Kód vygenerovaný (hostiteľ e-mail neodoslal). Zadajte ho, ak ho máte.	Kod skapad (värden skickade ingen e-post). Ange den om du har den.	کد ساخته شد (میزبان ایمیل نفرستاد). اگر دارید پایین بنویسید.
Verify your email.	Verify your email.	Erősítsd meg az e-mailt.	Bevestig je e-mail.	Verifica tu correo.	Verifică e-mailul.	Potwierdź e-mail.	Ověřte e-mail.	Potvrdite e-poštu.	Verifique o e-mail.	Verifique o e-mail.	Kinnita e-post.	Vérifiez votre e-mail.	Vérifiez votre e-mail.	이메일을 인증하세요.	请验证邮箱。	請驗證電子郵件。	Potvrdite e-poštu.	Подтвердите почту.	E-postanı doğrula.	Vahvista sähköposti.	Потвърдете имейла.	Підтвердіть пошту.	E-Mail bestätigen.	Verifica el correu.	Verifica l'e-mail.	メールを確認してください。	Patvirtinkite el. paštą.	أكّد بريدك.	Поштаны растаңыз.	Bekreft e-posten.	I-verify ang email.	ईमेल सत्यापित करें।	ยืนยันอีเมล	Verifikasi email.	დაადასტურეთ ელფოსტა.	Apstipriniet e-pastu.	Xác minh email.	Επιβεβαιώστε το email.	Пацвердзіце пошту.	Overte e-mail.	Verifiera e-posten.	ایمیل را تأیید کنید.
Enter the code from email.	Enter the code from email.	Írd be a kódot az e-mailből.	Voer de code uit de e-mail in.	Introduce el código del correo.	Introdu codul din e-mail.	Wpisz kod z e-maila.	Zadejte kód z e-mailu.	Unesite kod iz e-pošte.	Digite o código do e-mail.	Introduza o código do e-mail.	Sisesta kood e-kirjast.	Saisissez le code de l'e-mail.	Saisissez le code de l'e-mail.	이메일의 코드를 입력하세요.	输入邮件里的验证码。	輸入信件中的驗證碼。	Unesite kod iz e-pošte.	Введите код из письма.	E-postadaki kodu girin.	Syötä koodi sähköpostista.	Въведете кода от имейла.	Введіть код із листа.	Code aus der E-Mail eingeben.	Introdueix el codi del correu.	Inserisci il codice dell'e-mail.	メールのコードを入力。	Įveskite kodą iš laiško.	أدخل الرمز من البريد.	Хаттағы кодты енгізіңіз.	Skriv inn koden fra e-posten.	Ilagay ang code mula sa email.	ईमेल का कोड लिखें।	ใส่รหัสจากอีเมล	Masukkan kode dari email.	შეიყვანეთ კოდი წერილიდან.	Ievadiet kodu no e-pasta.	Nhập mã trong email.	Βάλτε τον κωδικό από το email.	Увядзіце код з ліста.	Zadajte kód z e-mailu.	Ange koden från e-posten.	کد ایمیل را وارد کنید.
Verifying...	Verifying...	Ellenőrzés...	Bevestigen...	Verificando...	Se verifică...	Weryfikacja...	Ověřování...	Provjera...	Verificando...	A verificar...	Kinnitamine...	Vérification...	Vérification...	인증 중...	正在验证...	正在驗證...	Provera...	Проверка...	Doğrulanıyor...	Vahvistetaan...	Проверка...	Перевірка...	Wird geprüft...	S'està verificant...	Verifica...	確認中...	Tikrinama...	جارٍ التحقق...	Расталуда...	Bekrefter...	Vine-verify...	जाँच हो रही है...	กำลังยืนยัน...	Memverifikasi...	დადასტურება...	Pārbauda...	Đang xác minh...	Επαλήθευση...	Праверка...	Overovanie...	Verifierar...	در حال تأیید...
Wrong code.	Wrong code.	Hibás kód.	Verkeerde code.	Código incorrecto.	Cod greșit.	Zły kod.	Špatný kód.	Pogrešan kod.	Código errado.	Código errado.	Vale kood.	Mauvais code.	Mauvais code.	잘못된 코드.	验证码错误。	驗證碼錯誤。	Pogrešan kod.	Неверный код.	Yanlış kod.	Väärä koodi.	Грешен код.	Невірний код.	Falscher Code.	Codi incorrecte.	Codice errato.	コードが違います。	Neteisingas kodas.	رمز خاطئ.	Қате код.	Feil kode.	Maling code.	गलत कोड।	รหัสผิด	Kode salah.	არასწორი კოდი.	Nepareizs kods.	Sai mã.	Λάθος κωδικός.	Няправільны код.	Nesprávny kód.	Fel kod.	کد اشتباه.
Verified! Welcome, {0}	Verified! Welcome, {0}	Megerősítve! Üdv, {0}	Bevestigd! Welkom, {0}	¡Verificado! Bienvenido, {0}	Verificat! Bine ai venit, {0}	Potwierdzono! Witaj, {0}	Ověřeno! Vítejte, {0}	Potvrđeno! Dobrodošli, {0}	Verificado! Bem-vindo, {0}	Verificado! Bem-vindo, {0}	Kinnitatud! Tere tulemast, {0}	Vérifié ! Bienvenue, {0}	Vérifié ! Bienvenue, {0}	인증됨! 환영합니다, {0}	已验证！欢迎，{0}	已驗證！歡迎，{0}	Potvrđeno! Dobrodošli, {0}	Подтверждено! Добро пожаловать, {0}	Doğrulandı! Hoş geldin, {0}	Vahvistettu! Tervetuloa, {0}	Потвърдено! Добре дошли, {0}	Підтверджено! Ласкаво просимо, {0}	Bestätigt! Willkommen, {0}	Verificat! Benvingut, {0}	Verificato! Benvenuto, {0}	確認完了！ようこそ、{0}	Patvirtinta! Sveiki, {0}	تم التأكيد! أهلاً، {0}	Расталды! Қош келдіңіз, {0}	Bekreftet! Velkommen, {0}	Na-verify! Welcome, {0}	सत्यापित! स्वागत है, {0}	ยืนยันแล้ว! ยินดีต้อนรับ, {0}	Terverifikasi! Selamat datang, {0}	დადასტურდა! კეთილი იყოს თქვენი მობრძანება, {0}	Apstiprināts! Laipni lūdzam, {0}	Đã xác minh! Chào mừng, {0}	Επιβεβαιώθηκε! Καλώς ήρθες, {0}	Пацверджана! Вітаем, {0}	Overené! Vitajte, {0}	Verifierat! Välkommen, {0}	تأیید شد! خوش آمدید، {0}
Enter email first.	Enter email first.	Először add meg az e-mailt.	Vul eerst je e-mail in.	Introduce primero el correo.	Introdu mai întâi e-mailul.	Najpierw podaj e-mail.	Nejprve zadejte e-mail.	Prvo unesite e-poštu.	Digite o e-mail primeiro.	Introduza primeiro o e-mail.	Sisesta esmalt e-post.	Saisissez d'abord l'e-mail.	Saisissez d'abord l'e-mail.	먼저 이메일을 입력하세요.	请先输入邮箱。	請先輸入電子郵件。	Prvo unesite e-poštu.	Сначала введите почту.	Önce e-posta girin.	Anna ensin sähköposti.	Първо въведете имейл.	Спочатку введіть пошту.	Zuerst E-Mail eingeben.	Introdueix primer el correu.	Inserisci prima l'e-mail.	先にメールを入力。	Pirmiausia įveskite el. paštą.	أدخل البريد أولاً.	Алдымен поштаны енгізіңіз.	Skriv inn e-post først.	Ilagay muna ang email.	पहले ईमेल लिखें।	ใส่อีเมลก่อน	Masukkan email dulu.	ჯერ შეიყვანეთ ელფოსტა.	Vispirms ievadiet e-pastu.	Nhập email trước.	Βάλτε πρώτα το email.	Спачатку ўвядзіце пошту.	Najprv zadajte e-mail.	Ange e-post först.	اول ایمیل را وارد کنید.
Sending...	Sending...	Küldés...	Verzenden...	Enviando...	Se trimite...	Wysyłanie...	Odesílání...	Slanje...	Enviando...	A enviar...	Saatmine...	Envoi...	Envoi...	전송 중...	正在发送...	正在傳送...	Slanje...	Отправка...	Gönderiliyor...	Lähetetään...	Изпращане...	Надсилання...	Senden...	S'està enviant...	Invio...	送信中...	Siunčiama...	جارٍ الإرسال...	Жіберілуде...	Sender...	Ipinapadala...	भेजा जा रहा है...	กำลังส่ง...	Mengirim...	იგზავნება...	Sūta...	Đang gửi...	Αποστολή...	Адпраўка...	Odosielanie...	Skickar...	در حال ارسال...
Code re-sent. Check your email.	Code re-sent. Check your email.	Kód újra elküldve. Nézd meg az e-mailt.	Code opnieuw gestuurd. Check je e-mail.	Código reenviado. Revisa el correo.	Cod retrimis. Verifică e-mailul.	Kod wysłany ponownie. Sprawdź e-mail.	Kód znovu odeslán. Zkontrolujte e-mail.	Kod ponovo poslan. Provjerite e-poštu.	Código reenviado. Veja o e-mail.	Código reenviado. Veja o e-mail.	Kood saadetud uuesti. Vaata e-posti.	Code renvoyé. Vérifiez l'e-mail.	Code renvoyé. Vérifiez l'e-mail.	코드를 다시 보냈습니다. 이메일을 확인하세요.	验证码已重发。请查收邮箱。	驗證碼已重寄。請查看信箱。	Kod ponovo poslat. Proverite e-poštu.	Код отправлен повторно. Проверьте почту.	Kod yeniden gönderildi. E-postanı kontrol et.	Koodi lähetetty uudelleen. Tarkista sähköposti.	Кодът е изпратен отново. Проверете имейла.	Код надіслано ще раз. Перевірте пошту.	Code erneut gesendet. E-Mail prüfen.	Codi reenviat. Revisa el correu.	Codice reinviato. Controlla l'e-mail.	コード再送。メールを確認。	Kodas išsiųstas iš naujo. Patikrinkite el. paštą.	أُعيد إرسال الرمز. تحقق من بريدك.	Код қайта жіберілді. Поштаны тексеріңіз.	Kode sendt på nytt. Sjekk e-posten.	Naipadala ulit ang code. Tingnan ang email.	कोड फिर भेजा। ईमेल देखें।	ส่งรหัสอีกครั้ง ตรวจอีเมล	Kode dikirim ulang. Cek email.	კოდი თავიდან გაიგზავნა. შეამოწმეთ ელფოსტა.	Kods nosūtīts vēlreiz. Pārbaudiet e-pastu.	Đã gửi lại mã. Kiểm tra email.	Ο κωδικός στάλθηκε ξανά. Δείτε το email.	Код дасланы зноў. Праверце пошту.	Kód odoslaný znova. Skontrolujte e-mail.	Kod skickad igen. Kolla e-posten.	کد دوباره ارسال شد. ایمیل را ببینید.
Could not resend.	Could not resend.	Újraküldés sikertelen.	Opnieuw verzenden mislukt.	No se pudo reenviar.	Nu s-a putut retrimite.	Nie udało się wysłać ponownie.	Nepodařilo se odeslat znovu.	Nije moguće ponovo poslati.	Não foi possível reenviar.	Não foi possível reenviar.	Uuesti saatmine ebaõnnestus.	Échec du renvoi.	Échec du renvoi.	재전송 실패.	无法重发。	無法重寄。	Nije moguće ponovo poslati.	Не удалось отправить снова.	Yeniden gönderilemedi.	Uudelleenlähetys epäonnistui.	Неуспешно повторно изпращане.	Не вдалося надіслати знову.	Erneutes Senden fehlgeschlagen.	No s'ha pogut reenviar.	Reinvio non riuscito.	再送信できませんでした。	Iš naujo išsiųsti nepavyko.	تعذّر إعادة الإرسال.	Қайта жіберу сәтсіз.	Kunne ikke sende på nytt.	Hindi maipadala ulit.	फिर नहीं भेज सके।	ส่งอีกครั้งไม่ได้	Gagal kirim ulang.	თავიდან გაგზავნა ვერ მოხერხდა.	Neizdevās nosūtīt vēlreiz.	Không gửi lại được.	Αποτυχία επαναποστολής.	Не ўдалося даслаць зноў.	Nepodarilo sa odoslať znova.	Kunde inte skicka igen.	ارسال دوباره نشد.
Enter your Telegram username.	Enter your Telegram username.	Add meg a Telegram felhasználóneved.	Voer je Telegram-gebruikersnaam in.	Introduce tu usuario de Telegram.	Introdu numele de utilizator Telegram.	Podaj nazwę użytkownika Telegram.	Zadejte uživatelské jméno Telegram.	Unesite Telegram korisničko ime.	Digite seu usuário do Telegram.	Introduza o utilizador do Telegram.	Sisesta Telegrami kasutajanimi.	Saisissez votre identifiant Telegram.	Saisissez votre identifiant Telegram.	텔레그램 사용자 이름을 입력하세요.	输入 Telegram 用户名。	輸入 Telegram 使用者名稱。	Unesite Telegram korisničko ime.	Введите имя в Telegram.	Telegram kullanıcı adını girin.	Anna Telegram-käyttäjänimi.	Въведете потребителското име в Telegram.	Введіть ім’я в Telegram.	Telegram-Benutzernamen eingeben.	Introdueix l'usuari de Telegram.	Inserisci il nome utente Telegram.	Telegramのユーザー名を入力。	Įveskite Telegram naudotojo vardą.	أدخل اسمك في تيليجرام.	Telegram пайдаланушы атын енгізіңіз.	Skriv inn Telegram-brukernavn.	Ilagay ang Telegram username.	टेलीग्राम यूज़रनेम लिखें।	ใส่ชื่อผู้ใช้เทเลแกรม	Masukkan nama pengguna Telegram.	შეიყვანეთ Telegram-ის სახელი.	Ievadiet Telegram lietotājvārdu.	Nhập tên Telegram.	Βάλτε το όνομα στο Telegram.	Увядзіце імя ў Telegram.	Zadajte používateľské meno Telegram.	Ange ditt Telegram-användarnamn.	نام کاربری تلگرام را وارد کنید.
Linking Telegram...	Linking Telegram...	Telegram összekötése...	Telegram koppelen...	Vinculando Telegram...	Se leagă Telegram...	Łączenie Telegram...	Propojování Telegramu...	Povezivanje Telegrama...	Vinculando Telegram...	A associar o Telegram...	Telegrami sidumine...	Liaison de Telegram...	Liaison de Telegram...	텔레그램 연결 중...	正在绑定 Telegram...	正在綁定 Telegram...	Povezivanje Telegrama...	Привязка Telegram...	Telegram bağlanıyor...	Liitetään Telegram...	Свързване на Telegram...	Прив’язка Telegram...	Telegram wird verknüpft...	S'està vinculant Telegram...	Collegamento Telegram...	Telegramを連携中...	Jungiama Telegram...	جارٍ ربط تيليجرام...	Telegram қосылуда...	Kobler Telegram...	Nili-link ang Telegram...	टेलीग्राम जुड़ रहा है...	กำลังผูกเทเลแกรม...	Menautkan Telegram...	Telegram-ის დაკავშირება...	Saista Telegram...	Đang liên kết Telegram...	Σύνδεση Telegram...	Прывязка Telegram...	Pripájanie Telegramu...	Kopplar Telegram...	در حال اتصال تلگرام...
Link failed.	Link failed.	Összekötés sikertelen.	Koppelen mislukt.	Error al vincular.	Legarea a eșuat.	Nie udało się połączyć.	Propojení selhalo.	Povezivanje nije uspjelo.	Falha ao vincular.	Falha ao associar.	Sidumine ebaõnnestus.	Échec de la liaison.	Échec de la liaison.	연결 실패.	绑定失败。	綁定失敗。	Povezivanje nije uspelo.	Не удалось привязать.	Bağlama başarısız.	Liittäminen epäonnistui.	Неуспешно свързване.	Не вдалося прив’язати.	Verknüpfung fehlgeschlagen.	Ha fallat la vinculació.	Collegamento non riuscito.	連携に失敗しました。	Susieti nepavyko.	فشل الربط.	Қосу сәтсіз.	Kobling mislyktes.	Nabigo ang pag-link.	जोड़ना असफल।	ผูกไม่สำเร็จ	Gagal tautkan.	დაკავშირება ვერ მოხერხდა.	Saistīšana neizdevās.	Liên kết thất bại.	Αποτυχία σύνδεσης.	Не ўдалося прывязаць.	Prepojenie zlyhalo.	Koppling misslyckades.	اتصال ناموفق.
Open in Telegram and press Start: {0}	Open in Telegram and press Start: {0}	Nyisd meg Telegramon és nyomj Startot: {0}	Open in Telegram en druk op Start: {0}	Abre en Telegram y pulsa Start: {0}	Deschide în Telegram și apasă Start: {0}	Otwórz w Telegramie i naciśnij Start: {0}	Otevřete v Telegramu a stiskněte Start: {0}	Otvorite u Telegramu i pritisnite Start: {0}	Abra no Telegram e toque em Start: {0}	Abra no Telegram e prima Start: {0}	Ava Telegramis ja vajuta Start: {0}	Ouvrez dans Telegram et appuyez sur Start : {0}	Ouvrez dans Telegram et appuyez sur Start : {0}	텔레그램에서 열고 Start를 누르세요: {0}	在 Telegram 打开并按 Start：{0}	在 Telegram 開啟並按 Start：{0}	Otvorite u Telegramu i pritisnite Start: {0}	Откройте в Telegram и нажмите Start: {0}	Telegram'da açıp Start'a basın: {0}	Avaa Telegramissa ja paina Start: {0}	Отворете в Telegram и натиснете Start: {0}	Відкрийте в Telegram і натисніть Start: {0}	In Telegram öffnen und Start drücken: {0}	Obre a Telegram i prem Start: {0}	Apri in Telegram e premi Start: {0}	Telegramで開いて Start を押す: {0}	Atidarykite Telegram ir spauskite Start: {0}	افتح في تيليجرام واضغط Start: {0}	Telegram-да ашып Start басыңыз: {0}	Åpne i Telegram og trykk Start: {0}	Buksan sa Telegram at pindutin ang Start: {0}	टेलीग्राम में खोलकर Start दबाएँ: {0}	เปิดในเทเลแกรมแล้วกด Start: {0}	Buka di Telegram lalu tekan Start: {0}	გახსენით Telegram-ში და დააჭირეთ Start: {0}	Atveriet Telegram un nospiediet Start: {0}	Mở Telegram và nhấn Start: {0}	Άνοιξε στο Telegram και πάτα Start: {0}	Адкрыйце ў Telegram і націсніце Start: {0}	Otvorte v Telegrame a stlačte Start: {0}	Öppna i Telegram och tryck Start: {0}	در تلگرام باز کنید و Start بزنید: {0}
Linked! Bonus +{0} BTC added.	Linked! Bonus +{0} BTC added.	Összekötve! Bónusz +{0} BTC hozzáadva.	Gekoppeld! Bonus +{0} BTC toegevoegd.	¡Vinculado! Bono +{0} BTC añadido.	Legat! Bonus +{0} BTC adăugat.	Połączono! Bonus +{0} BTC dodany.	Propojeno! Bonus +{0} BTC přidán.	Povezano! Bonus +{0} BTC dodat.	Vinculado! Bônus +{0} BTC adicionado.	Associado! Bónus +{0} BTC adicionado.	Seotud! Boonus +{0} BTC lisatud.	Lié ! Bonus +{0} BTC ajouté.	Lié ! Bonus +{0} BTC ajouté.	연결됨! 보너스 +{0} BTC 지급.	已绑定！奖励 +{0} BTC。	已綁定！獎勵 +{0} BTC。	Povezano! Bonus +{0} BTC dodat.	Привязано! Бонус +{0} BTC начислен.	Bağlandı! Bonus +{0} BTC eklendi.	Liitetty! Bonus +{0} BTC lisätty.	Свързано! Бонус +{0} BTC добавен.	Прив’язано! Бонус +{0} BTC нараховано.	Verknüpft! Bonus +{0} BTC gutgeschrieben.	Vinculat! Bonus +{0} BTC afegit.	Collegato! Bonus +{0} BTC aggiunto.	連携完了！ボーナス +{0} BTC。	Susieta! Premija +{0} BTC pridėta.	تم الربط! مكافأة +{0} BTC.	Қосылды! Бонус +{0} BTC қосылды.	Koblet! Bonus +{0} BTC lagt til.	Naka-link! Bonus +{0} BTC.	जुड़ गया! बोनस +{0} BTC।	ผูกแล้ว! โบนัส +{0} BTC	Tertaut! Bonus +{0} BTC.	დაკავშირდა! ბონუსი +{0} BTC.	Saistīts! Bonuss +{0} BTC pievienots.	Đã liên kết! Thưởng +{0} BTC.	Συνδέθηκε! Μπόνους +{0} BTC.	Прывязана! Бонус +{0} BTC.	Prepojené! Bonus +{0} BTC pridaný.	Kopplat! Bonus +{0} BTC tillagd.	وصل شد! پاداش +{0} BTC.
